Hour,Access_Control,Alignment,Contributing_Factor,Lighting,Locality,Collision,Road_Type,Severity,Weather,Roadway,Damage,Dr_Age,Dr_Condition,Dr_Gender,Reason,Traffic_Control,Traffic_Condition,Violation,Posted_Speed
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,Complaint,Clear,Highway,Front ,35-44,Distracted,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Cloudy,Drive,None,65-74,Distracted,Male,Driver Violation,Other,No Controls,Other,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,Complaint,Cloudy,Street/Lane/Road,Front ,65-74,Distracted,Male,Driver Violation,Other,No Controls,Other,21-30 mph
Peak,No Control,Straight-Level,Violations,Dusk/Dawn,Business,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Drive,Front ,35-44,Unknown,Unknown,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Drive,Front ,25-34,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Drive,Front ,25-34,Other,Male,Driver Violation,Other,No Controls,Driver Error,31-40 mph
Off-peak,Partial Control,Straight-Level,Condition Of Driver,Daylight,Business,Head-On,Two-Way Road With A Physical Barrier,No Injury,Clear,Avenue,Front ,25-34,Impaired,Male,Driver Condition,Other,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Rear End,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front ,65-74,Normal,Male,Driver Violation,Other,No Controls,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,25-34,Normal,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,No Injury,Clear,Avenue,Front ,35-44,Normal,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,35-44,Distracted,Female,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front Left,25-34,Normal,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Clear,Drive,Rear ,35-44,Unknown,Unknown,Driver Violation,Other,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,Moderate,Cloudy,Street/Lane/Road,Front ,15-24,Normal,Male,Driver Violation,Other,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Separation,Severe,Clear,Other,Front ,45-54,Impaired,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,55-64,Distracted,Male,Driver Violation,Other,No Controls,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Sideswipe,One-Way Road,No Injury,Clear,Street/Lane/Road,Right ,35-44,Impaired,Male,Driver Condition,Other,Controls Functioning,Other,21-30 mph
Peak,No Control,Curve-Level,Movement Prior To Crash,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,55-64,Normal,Female,Other,Yellow No Passing Line,Controls Functioning,No Violations,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Drive,Right ,65-74,Normal,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,On Grade,Violations,Dark - Continuous Street Light,Business,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Left,25-34,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,41-50 mph
Peak,Partial Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Right Angle,One-Way Road,Complaint,Cloudy,Street/Lane/Road,Other,55-64,Normal,Male,Driver Violation,Other,No Controls,Other,20 mph or less
Peak,Full Control,Straight-Level,Violations,Daylight,Residential ,Right Turn,Other,Moderate,Clear,Street/Lane/Road,Other,15-24,Normal,Male,Other,Other,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Sideswipe,One-Way Road,No Injury,Other,Street/Lane/Road,Other,25-34,Unknown,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Right ,55-64,Normal,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,Two-Way Road With No Physical Separation,Moderate,Clear,Boulevard,Other,25-34,Normal,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Residential ,Sideswipe,Two-Way Road With A Physical Separation,No Injury,Cloudy,Street/Lane/Road,Front ,65-74,Normal,Male,Other,Other,Controls Functioning,No Violations,41-50 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Right Angle,One-Way Road,No Injury,Cloudy,Avenue,Front ,25-34,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,No Injury,Clear,Drive,Front ,25-34,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,35-44,Normal,Male,Driver Violation,Other,No Controls,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,45-54,Impaired,Female,Driver Condition,Other,Controls Functioning,Driver Condition,51-60 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front ,25-34,Distracted,Male,Driver Violation,Signal ,Controls Functioning,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Sideswipe,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,35-44,Distracted,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Right ,15-24,Normal,Female,Normal Movement,Other,No Controls,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Right ,15-24,Distracted,Female,Driver Violation,Other,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Drive,Front ,25-34,Distracted,Male,Other,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Right Turn,One-Way Road,Complaint,Clear,Street/Lane/Road,Front ,15-24,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,25-34,Normal,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,75-Inf,Normal,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Avenue,Front Left,45-54,Impaired,Male,Driver Condition,Other,No Controls,Driver Condition,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,Moderate,Cloudy,Avenue,Front Left,15-24,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,31-40 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Other,Street/Lane/Road,Unknown,55-64,Unknown,Unknown,Driver Condition,Other,No Controls,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Clear,Avenue,Front ,15-24,Unknown,Female,Normal Movement,Other,No Controls,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Right Angle,One-Way Road,No Injury,Cloudy,Street/Lane/Road,Front ,15-24,Normal,Female,Driver Violation,Other,No Controls,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Complaint,Clear,Drive,Front ,25-34,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Barrier,Complaint,Clear,Other,None,45-54,Normal,Male,Driver Violation,Other,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,One-Way Road,Complaint,Clear,Street/Lane/Road,Rear ,55-64,Distracted,Male,Driver Violation,Other,No Controls,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Dusk/Dawn,Residential ,Sideswipe,One-Way Road,No Injury,Clear,Street/Lane/Road,Unknown,35-44,Unknown,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - Continuous Street Light,Other,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Barrier,Moderate,Clear,Other,Total,15-24,Fatigued/Illness,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Error,61-70 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,Complaint,Clear,Avenue,Unknown,15-24,Distracted,Male,Driver Violation,Other,No Controls,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,One-Way Road,No Injury,Clear,Street/Lane/Road,Other,65-74,Distracted,Male,Driver Violation,Other,No Controls,Other,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With A Physical Separation,Complaint,Clear,Avenue,Front ,25-34,Distracted,Female,Driver Violation,Signal ,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,One-Way Road,No Injury,Clear,Street/Lane/Road,Other,15-24,Normal,Male,Driver Violation,Other,Other,Other,31-40 mph
Peak,Partial Control,Straight-Level,Violations,Daylight,Business,Left Turn,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,55-64,Distracted,Female,Driver Violation,Yellow No Passing Line,Controls Functioning,Other,20 mph or less
Peak,Partial Control,Straight-Level,Violations,Daylight,Residential ,Left Turn,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,55-64,Normal,Male,Normal Movement,Sign,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,One-Way Road,Complaint,Clear,Street/Lane/Road,Front ,15-24,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,21-30 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Rear End,Two-Way Road With No Physical Separation,No Injury,Clear,Avenue,Front ,45-54,Unknown,Unknown,Other,Other,No Controls,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,One-Way Road,Complaint,Clear,Street/Lane/Road,Front Left,25-34,Other,Female,Normal Movement,Other,No Controls,Driver Condition,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,Complaint,Cloudy,Street/Lane/Road,Front ,25-34,Distracted,Male,Driver Violation,Other,No Controls,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,35-44,Distracted,Male,Driver Violation,Other,No Controls,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Drive,Front ,65-74,Normal,Male,Driver Violation,Other,No Controls,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With No Physical Separation,Moderate,Clear,Street/Lane/Road,Rear ,35-44,Impaired,Male,Driver Condition,Yellow No Passing Line,No Controls,Driver Condition,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Rear End,Two-Way Road With A Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,35-44,Normal,Male,Normal Movement,Yellow Dashed Line,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Curve-Level,Condition Of Driver,Dark - Continuous Street Light,Residential ,Head-On,One-Way Road,Fatal,Clear,Avenue,Front ,25-34,Impaired,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Condition,51-60 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,Two-Way Road With No Physical Separation,Complaint,Cloudy,Other,Left,45-54,Distracted,Male,Normal Movement,White Dashed Line,Controls Functioning,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Moderate,Clear,Street/Lane/Road,Front Left,25-34,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,Two-Way Road With No Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Avenue,Other,15-24,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Business,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,35-44,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,75-Inf,Distracted,Male,Driver Violation,Other,No Controls,Driver Error,20 mph or less
Off-peak,Full Control,Curve-Level,Condition Of Driver,Dark - No Street Lights,Other,Head-On,Two-Way Road With A Physical Separation,No Injury,Clear,Highway,Front Left,15-24,Impaired,Male,Driver Condition,Other,Controls Functioning,Driver Condition,51-60 mph
Off-peak,Partial Control,Curve-Level,Violations,Dark - No Street Lights,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Moderate,Cloudy,Drive,Front Left,15-24,Impaired,Male,Driver Condition,Yellow No Passing Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,Two-Way Road With No Physical Separation,Complaint,Cloudy,Drive,Left,45-54,Normal,Male,Driver Violation,Other,Controls Functioning,Other,41-50 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Residential ,Sideswipe,Two-Way Road With No Physical Separation,Moderate,Clear,Street/Lane/Road,Front ,25-34,Unknown,Male,Other,Yellow No Passing Line,Controls Functioning,Other,21-30 mph
Peak,No Control,Curve-Level,Violations,Daylight,Business,Left Turn,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Right ,35-44,Impaired,Male,Driver Condition,Other,No Controls,Driver Error,41-50 mph
Peak,No Control,Curve-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Unknown,65-74,Unknown,Unknown,Other,Sign,Controls Functioning,Driver Error,41-50 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Non-Collision With Motor Vehicle,One-Way Road,Moderate,Clear,Street/Lane/Road,Front ,25-34,Distracted,Male,Driver Condition,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With A Physical Separation,Moderate,Clear,Avenue,Other,35-44,Distracted,Male,Normal Movement,Signal ,Controls Functioning,Other,20 mph or less
Off-peak,No Control,Straight-Level,Other,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With No Physical Separation,Moderate,Clear,Boulevard,Front ,55-64,Normal,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Other,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,None,35-44,Distracted,Female,Driver Violation,Other,Controls Functioning,Other,20 mph or less
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Residential ,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Avenue,Front ,45-54,Fatigued/Illness,Female,Driver Condition,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Complaint,Cloudy,Street/Lane/Road,Front ,65-74,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,None,35-44,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,20 mph or less
Off-peak,Partial Control,Straight-Level,Violations,Dusk/Dawn,Business,Head-On,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,25-34,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Rear End,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,35-44,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,51-60 mph
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Residential ,Head-On,Two-Way Road With No Physical Separation,Severe,Clear,Street/Lane/Road,Front ,15-24,Impaired,Female,Driver Condition,Yellow Dashed Line,Controls Not Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Other,Two-Way Road With A Physical Barrier,Complaint,Clear,Street/Lane/Road,Front ,75-Inf,Fatigued/Illness,Female,Driver Condition,White Dashed Line,Controls Functioning,No Violations,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Right Angle,One-Way Road,Moderate,Clear,Street/Lane/Road,Front ,25-34,Normal,Female,Driver Violation,Sign,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Drive,Front ,25-34,Distracted,Male,Other,Other,Controls Functioning,Exceeding speed,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Left Turn,Two-Way Road With No Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front Left,35-44,Normal,Male,Normal Movement,Other,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Curve-Level,Movement Prior To Crash,Dark - Continuous Street Light,Business,Right Angle,One-Way Road,Severe,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front ,15-24,Distracted,Female,Other,Other,Unknown,Other,31-40 mph
Peak,Partial Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Residential ,Left Turn,Two-Way Road With A Physical Separation,Complaint,Cloudy,Drive,None,35-44,Other,Male,Driver Violation,Sign,Controls Functioning,Driver Error,21-30 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Rear ,35-44,Normal,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,15-24,Impaired,Male,Driver Condition,Other,No Controls,Driver Condition,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Right ,25-34,Distracted,Female,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Daylight,Other,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,15-24,Normal,Female,Normal Movement,Yellow No Passing Line,Controls Functioning,Other,41-50 mph
Peak,Partial Control,Straight-Level,Movement Prior To Crash,Dark - Continuous Street Light,Business,Other,Two-Way Road With A Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front Left,35-44,Normal,Female,Driver Violation,Other,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,Two-Way Road With A Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Highway,Rear ,25-34,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,Partial Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,25-34,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,Complaint,Clear,Street/Lane/Road,Total,45-54,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dusk/Dawn,Business,Sideswipe,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,45-54,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Unknown,35-44,Unknown,Female,Other,Other,Controls Functioning,Other,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Clear,Boulevard,Front Left,55-64,Impaired,Male,Driver Condition,Other,No Controls,Driver Condition,31-40 mph
Peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,One-Way Road,No Injury,Clear,Street/Lane/Road,Unknown,45-54,Unknown,Male,Other,Other,Controls Functioning,Other,21-30 mph
Off-peak,Full Control,Straight-Level,Other,Other,Business,Sideswipe,Two-Way Road With A Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front Left,45-54,Normal,Female,Other,White Dashed Line,Controls Functioning,No Violations,51-60 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,One-Way Road,No Injury,Cloudy,Avenue,Front ,45-54,Normal,Female,Driver Violation,Other,Controls Functioning,Driver Error,20 mph or less
